City,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Temperature,Wind Speed
Porto Novo,BR,1571423156,20,48,-23.68,-45.44,86,2.24
Pangoa,PE,1571423158,95,64,-12.12,-73,79.64,3.29
Warrnambool,AU,1571423159,97,99,-38.38,142.48,44.01,3
Georgetown,GY,1571423161,40,74,6.8,-58.16,86,11.41
Ormara,PK,1571423163,0,25,25.21,64.64,79.39,4.07
Gushikawa,JP,1571423164,75,88,26.35,127.87,78.8,10.29
Souillac,FR,1571423166,90,82,45.6,-0.6,59,6.93
Bluff,AU,1571423168,20,85,-23.58,149.07,71,6.04
Palana,RU,1571423170,100,67,59.08,159.95,32.81,10.25
Russell,US,1571423171,1,31,38.9,-98.86,81,26.4
Christchurch,NZ,1571423173,66,100,-43.53,172.64,46,5.82
Visnes,NO,1571423175,75,81,59.36,5.22,51.8,10.29
Mount Gambier,AU,1571423177,75,87,-37.83,140.78,42.8,6.93
Henties Bay,NA,1571423179,16,88,-22.12,14.28,63,4
Albany,US,1571423181,90,61,42.65,-73.75,52,17.22
Dikson,RU,1571423182,100,83,73.51,80.55,26.78,15.66
Porto Murtinho,BR,1571423184,18,28,-21.7,-57.88,102.13,4.92
Amapa,HN,1571423186,40,49,15.09,-87.97,98.01,8.05
Tautira,PF,1571423188,75,69,-17.73,-149.15,82.4,3.36
Cape Town,ZA,1571423190,20,88,-33.93,18.42,66,14.99
Saldanha,PT,1571423191,80,64,41.42,-6.55,58.44,7.99
East London,ZA,1571423193,40,82,-33.02,27.91,68,6.93
Lebu,ET,1571423195,36,85,8.96,38.73,52.18,4.94
Bambous Virieux,MU,1571423197,75,60,-20.34,57.76,72,11.41
Hithadhoo,MV,1571423198,100,76,-0.6,73.08,81.25,10.29
Kapaa,US,1571423200,20,78,22.08,-159.32,80.6,10.29
Port Blair,IN,1571423202,100,77,11.67,92.75,84.16,13.73
Gumdag,TM,1571423204,64,20,39.2,54.59,67.84,11.39
Laishevo,RU,1571423205,90,93,55.4,49.55,41,13.42
Ribeira Grande,PT,1571423207,75,73,38.52,-28.7,69.8,17.22
Broome,GB,1571423209,1,81,52.47,1.45,55,10.29
Bredasdorp,ZA,1571423211,0,77,-34.53,20.04,64.99,3.36
New Norfolk,AU,1571423212,75,94,-42.78,147.06,43,9.17
Kalmunai,LK,1571423214,1,88,7.42,81.82,76.28,2.19
Clyde River,CA,1571423216,90,92,70.47,-68.59,30.2,34.45
Torbay,CA,1571423218,75,93,47.66,-52.73,64.99,18.34
Valkeala,FI,1571423219,90,93,60.94,26.8,43,8.05
Saint-Philippe,CA,1571423221,90,66,45.36,-73.48,48.99,19.46
Kahului,US,1571423223,40,58,20.89,-156.47,82.4,12.75
Longyearbyen,NO,1571423225,40,57,78.22,15.63,19.4,10.29
Canutama,BR,1571423226,55,39,-6.53,-64.38,96.53,3.53
Coolum Beach,AU,1571423228,91,92,-26.53,153.09,68,1.92
Alofi,NU,1571423230,75,94,-19.06,-169.92,73.4,3.36
Kamen-na-Obi,RU,1571423232,100,93,53.79,81.35,31.58,3.67
Talnakh,RU,1571423233,40,84,69.49,88.39,5,8.95
Stavern,NO,1571423235,90,100,59,10.03,48,6.93
Fort Saint James,CA,1571423237,92,81,54.43,-124.25,38.05,9.95
Arraial do Cabo,BR,1571423238,0,65,-22.97,-42.02,86,11.41
Butaritari,KI,1571423240,55,68,3.07,172.79,84.34,11.1
Banda Aceh,ID,1571423242,100,76,5.56,95.32,82.31,10.02
Leningradskiy,RU,1571423244,100,98,69.38,178.42,32.29,14.56
Sangueya,GN,1571423246,93,82,10.7,-14.37,82.45,8.61
Juegang,CN,1571423248,0,75,32.31,121.18,63,4.63
Sioux Lookout,CA,1571423249,40,57,50.1,-91.92,53.6,18.34
Guerrero Negro,MX,1571423251,62,79,27.97,-114.04,66.23,14.56
Barras,BR,1571423253,43,23,-4.24,-42.29,100.24,4.05
Sitka,US,1571423255,0,39,37.17,-99.65,81,21
Sovetsk,RU,1571423256,79,86,55.08,21.89,53.63,6.33
Lorengau,PG,1571423258,100,92,-2.02,147.27,75.56,3.89
Dolores,UY,1571423260,0,56,-33.53,-58.22,69.01,8.99
Manta,RO,1571423262,0,62,45.1,24.1,57.4,1.5
Pueblo Viejo,MX,1571423264,40,66,25.61,-108.42,91,10.29
Ayagoz,KZ,1571423265,95,57,47.96,80.43,35.76,11.41
Severo-Kurilsk,RU,1571423267,81,74,50.68,156.12,41.41,24
Soria,ES,1571423269,100,78,41.76,-2.46,57,1.01
Egvekinot,RU,1571423271,48,97,66.32,-179.17,15.02,7.09
Carnarvon,ZA,1571423272,85,40,-30.97,22.13,72.19,5.77
Cabrero,CL,1571423274,0,56,-37.04,-72.4,71.6,13.87
Zhigansk,RU,1571423276,97,97,66.77,123.37,26.96,9.69
Diamantino,BR,1571423278,30,29,-14.4,-56.44,96.42,1.95
Japura,ID,1571423279,100,96,-0.42,102.29,73.78,0.38
Coquimbo,CL,1571423281,20,67,-29.95,-71.34,60.8,13.87
Houma,CN,1571423283,0,73,35.63,111.36,53.17,5.97
Peringat,MY,1571423285,75,94,5.99,102.3,77,1.12
Garissa,KE,1571423286,81,63,-0.46,39.64,82.29,21
Korcula,HR,1571423288,0,68,42.96,17.14,64.4,3.36
Bereda,ES,1571423290,40,93,43.27,-7.54,59,4.7
Makhachkala,RU,1571423291,0,82,42.98,47.5,57,6.71
Urubicha,BO,1571423293,46,35,-15.63,-63.08,94.48,2.44
Khatanga,RU,1571423295,0,94,71.98,102.47,1.92,4.25
San Rafael,AR,1571423297,85,32,-34.61,-68.33,66.83,9.22
Salinas,US,1571423299,1,48,36.67,-121.66,66.2,4.7
Quatre Cocos,MU,1571423301,75,60,-20.21,57.76,72,11.41
Tutoia,BR,1571423303,0,62,-2.76,-42.27,87.8,21.92
Borogontsy,RU,1571423305,100,96,62.67,131.17,32.93,7.07
Beloha,MG,1571423306,0,53,-25.17,45.06,72.98,9.82
Maria Aurora,PH,1571423308,100,90,15.8,121.47,69.51,6.69
Mushie,CD,1571423310,30,89,-3.02,16.92,73.2,2.46
Te Anau,NZ,1571423312,100,89,-45.41,167.72,42.65,1.25
Vostok,RU,1571423313,0,69,46.45,135.83,33.85,2.95
Roald,NO,1571423315,0,93,62.58,6.12,45,5.82
Zyryanka,RU,1571423317,22,87,65.73,150.89,7.48,6.58
Plettenberg Bay,ZA,1571423319,0,95,-34.05,23.37,60.69,1.63
Cherskiy,RU,1571423321,100,95,68.75,161.3,9.86,4.56
Kenora,CA,1571423322,75,62,49.76,-94.48,53.6,13.87
Pochutla,MX,1571423324,75,70,15.74,-96.47,87.01,6.17
Ponta do Sol,BR,1571423326,2,33,-20.63,-46,87.29,6.38
Ketchikan,US,1571423328,75,100,55.34,-131.65,46.4,11.41
Lata,IN,1571423329,19,84,30.78,78.62,25.07,1.59
Sao Filipe,CV,1571423331,94,82,14.9,-24.5,79.55,14.61
Bahia Honda,CU,1571423333,71,73,22.9,-83.16,85.93,11.63
Halifax,CA,1571423335,75,93,44.65,-63.58,57,14.99
Bathsheba,BB,1571423336,75,74,13.22,-59.52,82.4,11.41
Kyenjojo,UG,1571423338,82,97,0.61,30.64,62.27,2.08
Neuquen,AR,1571423340,0,22,-38.95,-68.06,75.2,6.93
Nanortalik,GL,1571423342,96,89,60.14,-45.24,37.96,3.02
Mayumba,GA,1571423343,62,87,-3.44,10.65,77.32,8.16
Kungsbacka,SE,1571423345,75,93,57.49,12.08,55,10.29
Yumen,CN,1571423347,93,55,40.29,97.04,43.03,10.16
Pandan,PH,1571423349,88,75,11.72,122.09,83.41,7.72
Rio Muerto,MX,1571423350,75,58,27.42,-110.23,86,10.29
Les Cayes,HT,1571423352,5,75,18.19,-73.75,83.33,11.39
Balsas,BR,1571423354,71,30,-7.53,-46.04,93.59,6.51
Cockburn Town,TC,1571423356,40,70,21.46,-71.14,84.2,8.05
Ilabaya,PE,1571423357,90,40,-17.42,-70.51,73.49,10.18
Luau,CD,1571423359,34,45,-10.7,22.23,74.35,3.22
Tocopilla,CL,1571423361,75,82,-22.09,-70.2,60.04,14.74
Tulle,FR,1571423363,90,100,45.27,1.77,55.99,4.7
Castro,CL,1571423365,20,58,-42.48,-73.76,59,10.29
Thinadhoo,MV,1571423367,100,77,0.53,72.93,81.59,11.1
Balkhash,KZ,1571423368,66,59,46.84,74.98,42.51,8.39
Maceio,BR,1571423370,75,88,-9.67,-35.74,75.2,12.75
Brasilia,BR,1571423372,40,58,-10.9,-37.55,84.2,13.87
Mujiayingzi,CN,1571423373,58,77,42.12,118.78,40.82,6.31
Hobart,AU,1571423375,75,94,-42.88,147.33,43,9.17
Flin Flon,CA,1571423377,75,87,54.77,-101.88,42.8,1.16
Cabo San Lucas,MX,1571423379,20,69,22.89,-109.91,87.01,17.22
Cap-aux-Meules,CA,1571423380,90,87,47.38,-61.86,51.8,17.22
Felanitx,ES,1571423382,20,73,39.47,3.15,75.2,5.82
Faanui,PF,1571423384,95,81,-16.48,-151.75,79.45,14.85
Acajutla,SV,1571423386,40,74,13.59,-89.83,82.4,3.36
Deogarh,IN,1571423388,67,91,21.53,84.72,71.83,2.66
Gorontalo,ID,1571423389,19,94,0.54,123.06,74.03,2.57
Ugoofaaru,MV,1571423391,100,77,5.67,73,81.61,10.31
Hervey Bay,AU,1571423393,90,94,-25.3,152.85,73,4.7
Vao,EE,1571423395,99,95,59.1,26.19,52.21,7.7
Bell Ville,AR,1571423396,0,33,-32.63,-62.69,80.01,5.99
Bontang,ID,1571423398,63,91,0.12,117.47,74.87,1.05
Kyren,RU,1571423400,100,95,51.68,102.13,19.58,6.31
Shanhetun,CN,1571423402,95,66,44.7,127.2,47.32,4.79
Ishigaki,JP,1571423404,62,82,24.34,124.16,76.17,24.05
Katsuura,JP,1571423406,75,94,33.93,134.5,71.6,14.99
Qaqortoq,GL,1571423408,40,85,60.72,-46.03,41,4.7
Aklavik,CA,1571423410,75,85,68.22,-135.01,15.8,4.7
Nagapattinam,IN,1571423412,92,83,10.76,79.84,78.6,3.4
Hami,CN,1571423413,62,35,42.84,93.51,42.6,16.13
Marystown,CA,1571423415,84,2,47.17,-55.16,59,11.63
Hvide Sande,DK,1571423417,65,93,56.01,8.13,53.01,11.41
Vila Franca do Campo,PT,1571423419,75,94,37.72,-25.43,69.8,16.11
Atambua,ID,1571423421,84,78,-9.11,124.89,77.88,7.09
Half Moon Bay,US,1571423423,75,77,37.46,-122.43,66.99,8.05
Tooele,US,1571423424,1,43,40.53,-112.3,53.01,4.7
Turukhansk,RU,1571423426,100,93,65.8,87.96,23.92,4.41
Badnawar,IN,1571423428,40,61,23.02,75.23,77,6.22
Sao Felix do Xingu,BR,1571423430,95,40,-6.64,-51.99,95,2.19
Vestmanna,FO,1571423431,97,81,62.16,-7.17,44.6,17.22
Saint-Augustin,CA,1571423433,90,70,45.63,-73.98,48.99,8.05
Airai,TL,1571423435,99,83,-8.93,125.41,69.94,2.33
Rome,IT,1571423437,0,82,41.89,12.48,66,5.82
Ariquemes,BR,1571423439,93,36,-9.91,-63.03,95.43,2.51
Samarai,PG,1571423440,84,91,-10.62,150.67,71.6,5.39
Faya,SA,1571423442,0,30,18.39,42.45,71.6,5.82
Amurzet,CN,1571423444,97,65,47.69,131.09,40.03,1.14
Port Elizabeth,US,1571423446,75,41,39.31,-74.98,62.01,14.99
Kpandae,GH,1571423448,81,87,8.46,-0.01,78.65,5.48
Atar,MR,1571423450,7,25,20.52,-13.05,98.6,6.93
Datong,CN,1571423452,0,56,40.09,113.3,47.06,3.87
Baruun-Urt,MN,1571423453,0,59,46.68,113.28,38.05,6.73
Dingle,PH,1571423455,51,89,11,122.67,75.63,5.75
Iqaluit,CA,1571423457,75,63,63.75,-68.52,28.4,16.11
Seydi,NE,1571423459,0,45,13.34,7.75,87.8,4.7
Gejiu,CN,1571423460,24,95,23.36,103.16,53.35,2.19
Harlingen,NL,1571423462,75,81,53.18,5.41,55.4,16.11
Bowen,AU,1571423464,40,88,-20.01,148.25,75.99,6.93
Sokolo,ML,1571423466,15,13,14.74,-6.12,97.75,10.65
Upernavik,GL,1571423469,100,98,72.79,-56.15,31.55,7.02
Esmeraldas,BR,1571423471,20,22,-19.76,-44.31,95,6.93
Takoradi,GH,1571423474,100,84,4.89,-1.75,77.68,6.96
Port Keats,AU,1571423476,68,77,-14.25,129.55,80.26,6.53
Chumikan,RU,1571423478,0,83,54.72,135.31,32.32,8.34
Victor Harbor,AU,1571423480,75,81,-35.55,138.62,53.01,14.99
Maragogi,BR,1571423482,64,74,-9.01,-35.22,79.9,11.79
Kavaratti,IN,1571423484,100,80,10.57,72.64,81.95,14.88
Stokmarknes,NO,1571423485,75,69,68.56,14.91,39.2,5.82
Mehamn,NO,1571423487,75,64,71.03,27.85,39.2,11.41
Zhangjiakou,CN,1571423489,9,78,40.77,114.88,39.23,2.8
Macusani,PE,1571423491,98,90,-14.07,-70.43,37.92,8.84
Suna,FI,1571423493,90,100,60.2,24.68,51.01,8.05
Makakilo City,US,1571423494,75,88,21.35,-158.09,82.4,11.32
Sambava,MG,1571423496,60,90,-14.27,50.17,66.54,2.53
Naryan-Mar,RU,1571423498,63,82,67.67,53.09,27.79,14.74
Margate,AU,1571423499,75,94,-43.03,147.26,43,9.17
Vytegra,RU,1571423501,95,90,61.01,36.45,40.4,11.21
Shakawe,BW,1571423503,0,8,-18.36,21.84,79.41,3.38
Istmina,CO,1571423505,40,70,5.16,-76.69,86,4.59
Kulhudhuffushi,MV,1571423507,100,83,6.62,73.07,81.14,16.04
Kochevo,BG,1571423509,0,59,42.1,24.92,62.6,4.7
Santo Tomas,PH,1571423510,40,94,7.53,125.62,78.8,3.36
Leshukonskoye,RU,1571423512,36,75,64.9,45.76,29.48,9.42
Longkou,CN,1571423514,0,64,37.64,120.47,58.12,6.02
Auki,NG,1571423515,83,49,12.18,6.51,85.17,7.31
Marsh Harbour,BS,1571423518,88,74,26.54,-77.06,81.32,6.46
Jieshi,CN,1571423519,0,78,22.82,115.83,77,3.58
Southampton,GB,1571423521,40,71,50.9,-1.4,57.2,14.99
Coihaique,CL,1571423523,75,50,-45.58,-72.07,55.4,5.82
Constitucion,MX,1571423525,90,41,23.99,-104.67,77,9.82
Vanimo,PG,1571423526,100,83,-2.67,141.3,79.41,8.81
Avarua,CK,1571423528,100,88,-21.21,-159.78,73.4,9.17
Mumbwa,ZM,1571423530,0,15,-14.99,27.06,72.5,4.16
Norman Wells,CA,1571423532,90,93,65.28,-126.83,32,6.93
Boyolangu,ID,1571423534,47,92,-8.09,111.9,69.29,4.5
Geraldton,CA,1571423536,90,55,49.72,-86.95,42.8,10.29
Pevek,RU,1571423537,100,95,69.7,170.27,29.98,19.82
Cayenne,GF,1571423539,20,55,4.94,-52.33,91.4,17.22
Alghero,IT,1571423541,0,82,40.56,8.32,66.2,2.24
Esperance,AU,1571423542,82,81,-33.86,121.89,48.2,5.82
Oranjemund,ZA,1571423544,0,83,-28.55,16.43,59.83,12.57
Esik,KZ,1571423546,20,86,43.36,77.47,37.4,2.24
Ancud,CL,1571423548,20,58,-41.87,-73.83,59,10.29
Nome,US,1571423550,1,61,30.04,-94.42,80.01,3.36
Itarema,BR,1571423552,28,49,-2.92,-39.92,89.08,17.27
Port Macquarie,AU,1571423553,0,87,-31.43,152.91,46.99,4.7
Aden,YE,1571423555,59,57,12.79,45.03,86.11,6.62
Iquique,CL,1571423557,40,55,-20.22,-70.14,66.2,16.11
Sarahan,IN,1571423559,0,64,31.51,77.79,46.56,4.56
Teguldet,RU,1571423561,95,81,57.31,88.17,26.6,2.71
San Juan,AR,1571423563,8,37,-31.54,-68.53,56.37,6.98
Aksarka,RU,1571423564,80,64,66.56,67.8,21.97,3.98
Mnogovershinnyy,RU,1571423566,0,85,53.94,139.92,32.61,7.09
Zverinogolovskoye,RU,1571423568,100,95,54.46,64.85,34.43,13.15
Adrar,DZ,1571423570,0,14,27.87,-0.29,89.6,16.11
Pershotravneve,UA,1571423571,70,76,51.38,28.88,55.69,6.6
Cruzeiro do Sul,BR,1571423573,40,66,-7.63,-72.67,87.8,4.7
Saint-Joseph,FR,1571423575,90,93,43.56,6.97,64.4,4.41
Guangyuan,CN,1571423577,87,90,32.43,105.86,55.79,2.53
Sahuaripa,MX,1571423579,36,67,29.05,-109.23,75.05,7.38
Sibolga,ID,1571423580,99,78,1.74,98.78,80.94,6.6
Hof,DE,1571423582,75,87,50.32,11.92,55,8.05
Loksa,EE,1571423584,90,100,59.58,25.72,54,5.82
Acapulco,MX,1571423586,75,70,16.86,-99.88,86,9.17
Pachino,IT,1571423587,0,82,36.72,15.09,68,2.24
Meghraj,IN,1571423589,17,51,23.5,73.5,77.66,5.66
Ningbo,CN,1571423591,0,87,29.88,121.54,57.2,6.71
Opuwo,NA,1571423593,31,36,-18.06,13.84,83.98,12.46
Ovalle,CL,1571423594,0,39,-30.6,-71.2,70.07,8.93
Ust-Koksa,RU,1571423596,100,89,50.27,85.62,17.09,13.6
Pangkalanbuun,ID,1571423598,99,97,-2.68,111.62,75.09,1.28
Kenai,US,1571423600,90,93,60.55,-151.26,37.99,5.82
Mahebourg,MU,1571423602,75,60,-20.41,57.7,72,11.41
Ca Mau,VN,1571423603,100,95,9.18,105.15,77,5.77
Aswan,EG,1571423605,0,17,24.09,32.9,93.2,10.29
Manggar,ID,1571423607,46,87,-2.88,108.27,76.76,1.92
Grants,US,1571423609,75,29,35.15,-107.85,60.8,18.34
Verkhnevilyuysk,RU,1571423611,100,96,63.45,120.31,32.86,3
Tamandare,BR,1571423612,75,48,-8.28,-70.75,87.8,6.49
Xam Nua,LA,1571423614,57,99,20.42,104.04,61.63,2.21
Kholmogory,RU,1571423616,75,80,64.23,41.65,33.8,11.18
Rio Grande,BR,1571423618,75,65,-32.03,-52.1,80.6,12.75
Talara,PE,1571423620,0,290,-4.58,-81.27,62.6,17.22
Zanjan,IR,1571423621,42,31,36.67,48.48,57.56,1.61
Tezu,IN,1571423623,0,67,27.93,96.16,67.53,3.98
Puri,ID,1571423625,53,87,-7.54,112.45,71.99,5.39
Pacific Grove,US,1571423627,1,48,36.62,-121.92,68,3.36
Araouane,ML,1571423628,0,20,18.9,-3.53,94.84,6.8
Bom Jardim,BR,1571423630,75,88,-7.8,-35.59,77,12.75
Lavrentiya,RU,1571423632,100,96,65.58,-170.99,23.09,3.2
Manavgat,TR,1571423634,0,78,36.79,31.44,71.6,5.82
Keti Bandar,PK,1571423636,0,73,24.14,67.45,83.26,9.8
Arlit,NE,1571423637,0,15,18.74,7.39,97.45,3.42
Perth,AU,1571423639,0,62,-31.95,115.86,59,18.34
Guozhen,CN,1571423641,0,58,29.3,113.14,61,1.72
Caravelas,BR,1571423643,58,62,-17.73,-39.27,79.73,12.55
Cuiluan,CN,1571423645,100,71,47.72,128.65,37.96,0.81
Nuuk,GL,1571423647,90,93,64.17,-51.74,39.2,26.4
Vetapalem,IN,1571423648,96,93,15.78,80.32,75.7,5.28
Balikpapan,ID,1571423650,54,98,-1.24,116.86,72.16,1.01
Sept-Iles,CA,1571423652,90,76,50.2,-66.38,50,8.05
Bilibino,RU,1571423654,100,96,68.06,166.44,10.58,2.8
Yulara,AU,1571423655,95,33,-25.24,130.99,73.4,8.05
Narsaq,GL,1571423657,40,85,60.91,-46.05,41,4.7
Diego de Almagro,CL,1571423659,66,47,-26.39,-70.05,64.22,10.45
Salalah,OM,1571423661,20,78,17.01,54.1,82.4,4.7
Port Augusta,AU,1571423663,40,81,-32.49,137.76,53.01,3.36
Berlevag,NO,1571423665,75,73,70.86,29.09,39.2,18.34
Asmara,ER,1571423666,31,54,15.34,38.93,76.94,7.16
Mumford,GH,1571423668,83,92,5.26,-0.76,76.24,4.16
Grenfell,AU,1571423670,65,45,-33.9,148.16,42.96,1.59
Namatanai,PG,1571423672,100,82,-3.66,152.44,78.71,10.94
Swan Hill,AU,1571423673,0,94,-35.34,143.56,42.62,5.86
Chapais,CA,1571423676,90,80,49.78,-74.86,39.2,14.99
Lincoln,GB,1571423677,75,87,53.23,-0.54,52,13.87
Omboue,GA,1571423679,100,86,-1.57,9.26,77.92,12.15
Gonen,IL,1571423681,84,76,33.12,35.65,75.99,5.59
Kizner,RU,1571423682,100,92,56.27,51.51,35.38,11.14
Oussouye,SN,1571423684,20,67,12.49,-16.54,93.2,6.93
Mochalishche,RU,1571423686,90,100,56.33,48.35,37.4,8.95
Meaford,CA,1571423688,20,65,44.61,-80.59,46.99,10.29
Axim,GH,1571423689,94,86,4.87,-2.24,79.23,10.22
Paracuru,BR,1571423691,20,58,-3.41,-39.03,86,16.11
Pechenga,RU,1571423693,100,91,58.89,41.46,35.67,6.31
Robertsport,LR,1571423695,19,80,6.75,-11.37,80.56,9.19
Ostersund,SE,1571423696,90,93,63.18,14.64,41,3.36
Pisco,PE,1571423698,0,30,-13.71,-76.2,71.6,11.41
Morros,BR,1571423700,20,58,-2.87,-44.04,87.8,18.34
Tarut,SA,1571423702,0,54,26.57,50.06,87.8,4.34
Nishihara,JP,1571423703,90,100,35.74,139.53,62.01,8.05
Sawakin,SD,1571423705,0,74,19.1,37.33,77.41,5.82
Manali,IN,1571423707,2,75,32.25,77.19,23.77,2.44
Altagracia de Orituco,VE,1571423709,89,73,9.86,-66.38,81.03,3.49
Honningsvag,NO,1571423711,75,64,70.98,25.97,37.4,11.41
Thompson,CA,1571423713,90,75,55.74,-97.86,44.6,4.7
Kavieng,PG,1571423715,100,89,-2.57,150.8,77.57,9.33
Providencia,CO,1571423716,40,72,1.24,-77.6,68,4.7
Ossora,RU,1571423718,58,82,59.24,163.07,20.03,4.85
Carutapera,BR,1571423720,72,62,-1.2,-46.02,85.67,11.14
Zwedru,LR,1571423722,74,92,6.07,-8.13,75.5,6.22
Umm Lajj,SA,1571423723,100,73,25.02,37.27,86.38,9.69
Mackay,CA,1571423725,75,60,53.65,-115.58,50,6.93
Pakokku,MM,1571423727,4,75,21.33,95.09,77.84,2.89
Cururupu,BR,1571423729,99,48,-1.82,-44.87,90.5,8.37
Dandong,CN,1571423731,19,75,40.12,124.37,53.56,3.09
Waingapu,ID,1571423733,83,93,-9.65,120.26,70.07,4.92
Champawat,IN,1571423734,0,88,29.34,80.09,55.25,2.1
Dagana,MR,1571423736,40,23,16.52,-15.51,107.6,2.24
Okhotsk,RU,1571423738,100,73,59.36,143.24,27.86,9.04
Corrales,CO,1571423740,97,63,5.83,-72.84,60.15,1.41
Alibag,IN,1571423742,75,69,18.64,72.88,87.01,10.56
San Andres,PH,1571423743,75,94,13.32,122.68,75.85,4.27
Matara,BI,1571423745,77,94,-3.48,29.48,52.14,0.51
Mirabad,IR,1571423747,0,20,28.27,61.33,58.49,1.43
San Carlos de Bariloche,AR,1571423749,0,14,-41.13,-71.31,68,6.93
Solnechnyy,RU,1571423750,27,87,50.72,136.64,33.4,0.18
Komsomolskiy,RU,1571423752,21,92,67.55,63.78,18.59,5.06
Muros,ES,1571423754,75,93,42.77,-9.06,64.99,9.17
Borba,BR,1571423756,83,39,-4.39,-59.59,94.62,2.71
Udachnyy,RU,1571423757,90,100,66.42,112.4,24.8,6.71
Jvari,GE,1571423759,79,73,42.72,42.05,46.92,1.61
Toledo,ES,1571423761,20,77,39.86,-4.02,64.99,5.82
Emmett,US,1571423762,75,42,43.87,-116.5,59,16.11
Petropavlovsk-Kamchatskiy,RU,1571423764,0,73,53.05,158.65,26.6,6.71
Marabba,SD,1571423766,0,50,12.35,32.18,87.38,8.19
Nivala,FI,1571423768,97,97,63.93,24.96,37.99,4
Ostrovnoy,RU,1571423769,100,83,68.05,39.51,32.45,23.98
Puerto Cabezas,NI,1571423771,75,74,14.04,-83.39,87.8,4.7
Vung Tau,VN,1571423773,100,80,10.35,107.08,79.66,7.65
Tirthahalli,IN,1571423775,100,95,13.69,75.25,73.96,2.28
Belmonte,PT,1571423777,53,85,40.36,-7.35,60.01,4
Sorong,ID,1571423778,100,88,-0.86,131.25,75.58,1.36
Jacareacanga,BR,1571423780,0,52,-6.22,-57.76,93.2,5.82
Anadyr,RU,1571423782,90,92,64.73,177.51,26.6,2.24
Vereshchagino,RU,1571423784,100,83,58.07,54.67,30,9.4
